organization,url,size,country,description,url2,category,source,url_https,url_source
SocialDiabetes,www.socialdiabetes.com,1-10,México,"SocialDiabetes is the digital diabetes platform leader in Hispanic markets. By combining a patient APP universally integrated with all monitoring devices, with real-time dashboard, health data is shared with healthcare providers and payers. Our cloud-based AI professional platform allows for remote, efficient and customized digital patient management.

We empower Diabetes Patients to gain full control, with an optimal treatment and independence, trough data insight and smart connectivity. Enabling better self-care and adherence.

SocialDiabetes is a Medical class IIb* solution for the management of Type 1 & Type 2 diabetes. We are CE and Medical Device Manufacturer ISO 13485 certified.

Technology and telemedicine have a big role to play in helping us better manage these risks, avoiding unnecessary contacts and decongest the system, as much as possible. 

SocialDiabetes can provide:
1.        Virtual visits to facilitate remote access to healthcare.
2.        Real-world data to understand patient’s behavior and clinical impact.
3.        Self-monitoring to reduce patient dependence on already collapsed health systems.
4.        Reliable online information resources and online educational content.

",,Digital management platforms,,,
Chat-Tonic,info.chat-tonic.com/botcoronavirus/,11-50,Argentina,"Un chatbot con Inteligencia Artificial para brindar información sobre COVID-19, formas de contagio, precaución, aislamiento y breve AUTO-TEST de síntomas. ",coronavirus.web.chat-tonic.com/,Digital management platforms,,,
Red de Innovación Local,www.redinnovacionlocal.org,11-50,Argentina,Generación e intercambio de conocimiento mediante el relevamiento constante de iniciativas replicables a lo largo de América Latina para compartir mediante el Mapa de Soluciones Locales con funcionarios municipales de toda la región. ,,Digital management platforms,,,
PulmonAr - Respirador Mecanico Open Souce - WeHaus,www.wehaus.com,11-50,Argentina,"PulmonAR – Respirador Mecánico Argentino Open Source .

Atención:  La propuesta no es un respirador más, es un cambio de enfoque y un diseño adecuado del mismo

Brief: Diseño de un respirador invasivo mecánico simple y homologable para todos aquellos pacientes sin compromiso pulmonar, que utilizan aparatología respiratoria de alta complejidad sin ser esta necesaria por su condición (ej: ACV, parálisis cerebral, accidentes, etc.). El objetivo es contar con una alternativa diseñada para estos casos y así destinar los respiradores de alta complejidad a la emergencia sanitaria.

Impacto: Estimamos poder habilitar de 500 a 1.000 respiradores de alta complejidad y calculamos que existen otros 10.000 a 40.000 en manos de privados en internación domiciliaria solo en Argentina

Descripción:
Estimamos que actualmente existen entre dos a cuatro mil respiradores en los hospitales, tanto públicos como privados, para dar soporte a la totalidad del sistema sanitario argentino. En virtud de la situación de público conocimiento que se encuentra atravesando actualmente el mundo por la declaración de Emergencia Sanitaria por la Pandemia COVID-19, la semana pasada el Estado Argentino anunció la compra de todo el stock de respiradores existentes, siendo este de un total de 62 unidades adicionales para las 44 millones de personas que habitan nuestro país.
Es de suma importancia contar con más unidades que permitan atender al pico de contagios del COVID-19, sin descuidar al resto de las enfermedades que también requieren de este tipo de  equipamiento. Por ejemplo, el hospital Pirovano tiene 10 equipos de los cuales 5 ya están en uso. Para todos aquellos casos diagnosticados con COVID-19 necesitamos equipos complejos, costosos (USD 20.000 o más), en su mayoría importados, difíciles de conseguir y homologados ante la ANMAT, que sean capaces de responder ante todas las patologías y diagnósticos.
Nuestra propuesta es evaluar un ”Plan B”: desarrollar un respirador invasivo mecánico para todos aquellos pacientes sin compromiso pulmonar, que hoy utilizan aparatología respiratoria de alta complejidad, sin ser esta necesaria por su condición (ej: ACV, parálisis cerebral, crónicos, etc.).  El Respirador Open Source utiliza materiales comunes, metalmecánica, impresión 3D y no cuenta con electrónica, permitiendo atender el eventual pico de demanda. Es decir, todos aquellos pacientes en los que sea posible y sus circunstancias conexas de salud lo permitan, podrían utilizar equipos mecánicos con los mismos principios sobre los cuales trabajan los respiradores que se han heredado del primer respirador desarrollado por la empresa alemana Drager en 1905.
Se trataría de una alternativa rápida, a desarrollar entre 15 a 30 días, que permita paliar la excesiva demanda y dar una respuesta a esta emergencia, liberando los equipos de alta complejidad para su correcto uso.
El proyecto contempla que el diseño sea Open Source, de libre acceso para su fabricación en cualquier tejido industrial así como sin fines de lucro, contemplando la participación universitaria y todo aquel que pueda sumar valor en el desarrollo.

Definición Producto:
Volumétricos invasivo mecánico 
Con Blender de O2 y Aire 
Sin electrónica, diseno 100% Mecánico y Neumático 
De uso en hospitales con acceso a Aire y O2 (5bar)
diseño Open Source 
Opcional: Oxímetro para control y alarma (se compra como producto terminado)

Metodología de trabajo: Design Sprint en equipos
Etapa 1:  Equipo Básico 15 a 45 días (varios equipos en paralelo de 4 a 5 personas)
Etapa 2: Documentación, pre-producción y refinamiento del diseño, homologación y entrega del manual de fabricación al Ministerio de Industria local de cada país.
Etapa 3: Fabricación en tejido industrial local (1000 equipos)


",,Respirators,,,
Sirena,www.sirena.app,11-50,Argentina,"Sirena ayuda a las organizaciones a comunicarse a través de WhatsApp de manera escalable, permitiendo a múltiples agentes responder consultas sobre la misma línea.",,Remote work,,,
Individual,github.com/cirujadigital/OpenUVClean/wiki/Home-Instrucciones,1-10,Argentina,"Purificadores de aire UVC open source. 
Video: https://www.youtube.com/watch?v=tS6Us1rHVPc",,Prediction and prevention,,,
AEROTERRA S.A.,www.aeroterra.com/es-ar/covid-19/recursos-gis,51-100,Argentina,"Productos de Informacion y Análisis, incluyendo Mapa de Vulnerabilidad, Tableros de Control, etc.",,Big data and analytics,,,
Accessin S.a,accessin.net/ar/,1-10,Argentina,Dentro de nuestra app para comunidades (consorcios y barrios ) creamos un nuevo modulo de ayuda comunitaria donde cada residente puede solicitar ayuda y otro puede colaborar con este pedido. La App gener el Match y abre la comunicacion entre los vecinos. Actualmente bajo las categorias de Supermercado y Fermacia especialmente enfocado en poblacion en zonas de riesgo etareo o de salud.,,Other,,,
SOFTGUARD TECH ARG SA,softguard.com/Soluciones/coronavirus-alert/,11-50,Argentina,Sistema de tracking y asistencia a sintomáticos y positivos COVID19,,Digital management platforms,,,
Debmedia,www.debmedia.com,11-50,Argentina,"El sistema de agendamiento de citas, fila virtual y ordenamiento de filas permite reducir congestiones en espacios físicos, dar prioridad de atención y mejorar la eficiencia en la atención. ",,Digital management platforms,,,
Osana Salud,www.osanasalud.com,11-50,Argentina,"Osana provee atención primaria de la salud a precios accesibles

A través de nuestros planes mensuales (USD 10-12 x mes; 5 USD los menores), la gente accede sin cargo a:

+ Médico de cabecera 
+ Consultas con médicos especialistas.  
+ Odontología 
+ Estudios clínicos
+ 50% descuento en farmacias
+ Servicios de emergencias | Ambulancia
 + Video consultas con médicos a través de tu celular las 24hs del día
+ Podología
+ 1 par de lentes al año
+ Psicología
+ Kinesiología

Tenemos una red de prestadores que está a 20km del 87% de la población Argentina.

En respuesta al COVID-19 hemos:

1) Puesto a disposición de todas las personas -sean afiliadas a Osana o no- SIN CARGO el servicio de video consultas 24 hs.

2) Disponibilizado el envío de recetas online, integrado con el 80% de las farmacias del país

3) Construido un portal con la información mas actualizada del COVID-19

4) Estamos actualmente desarrollando un pequeño ERP para que los médicos especialistas (cardiologos, neurologos, etc) puedan seguir atendiendo a sus pacientes particulares a distancia (Agendar turnos, servicio de video consulta, historia clínica, envío de recetas).
El mismo va a ser de uso GRATUITO para los profesionales

5) Estamos tambien diseñando un Diagnosticador de Sintomas dentro de nuestra app para que la gente pueda auto evaluar sus condiciones.

Tenemos todo nuestro equipo de desarrollo abocado a implementar soluciones en base a las necesidades que vamos detectando de la red de profesionales médicos con las que trabajamos (+50.000 en todo el país)",,"Telemedicine, teleassistance",,,
UBICUO Inspector Digital,www.ubicuo.io,1-10,Argentina,"Plataforma web y móvil para digitalizar inspecciones de higiene y seguridad a fin de prevenir la salud ocupacional. Convierte el smartphone en una herramienta de relavamiento ágil e inteligente mediante guías o checklist, generación de avisos con imágenes georefenciadas y categoridas y la emisión de reportes automáticos e informes estadísticos. ",,Prediction and prevention,,,
Evaluados,www.e-valuados.com,1-10,Argentina,"Sistema de evaluaciones formativas Web-App para el seguimiento del aprendizaje en tiempo real de los contenidos dados en una clase.

Para Instituciones Educativas y Empresas que buscan monitoriar el proceso de enseñanza-aprendizaje o capacitación de manera remota y visualizar en tiempo real el avance de la trayectoria de los usuarios (comportamiento de uso, rendimiento, participación, entre otras)
",,Big data and analytics,,,
Fundación Telmed,www.fundaciontelmed.org/,101-250,Argentina,"COVID-19: Empresas de telediagnóstico y radiólogos argentinos se unen para ofrecer servicios gratuitos
                                                
Fundación Telmed está conformada por una red de compañías de innovación médica y radiólogos para ofrecer ayuda gratuita para optimizar el tratamiento de los pacientes con coronavirus en lugares que no cuentan con médicos suficientes, o donde sus sistemas se encuentren colapsados. El objetivo es dar asistencia en países de América Latina y España.                        
La solución ofrece la confección de informes e informe médico sobre radiografías y tomografías computadas de tórax en forma remota para los centros y hospitales que lo requieran. Se trata de estudios de extrema importancia para aquellos que fueron diagnosticados con COVID-19.                                

Esta alianza surge ante la rápida expansión de la pandemia. Con este servicio se espera reducir drásticamente el trabajo operativo en instituciones de salud en la región, dejando más tiempo para la atención de pacientes y reduciendo los tiempos de permanencia de pacientes. Con esta iniciativa creamos una comunidad de colaboración y capacitación específica en esta enfermedad. De esta manera, ayudamos a los servicios de imágenes de cualquier hospital y centro de salud de países que todavía no están en brote epidémico, a prepararse ante una eventual crisis y aluvión de casos. Los estudios de imágenes de los pacientes con sospecha o confirmados con la infección de coronavirus, se subirán a una plataforma desde cualquier centro de salud, independientemente del lugar del mapa que se encuentren. Estos serán interpretados por médicos que se encuentran especialmente entrenados en la interpretación de imágenes, para poder dar una asistencia ágil y precisa.  
                              
Las empresas de telediagnóstico que han iniciado la red son Mamotest, DeltaTelediagnóstico y ActualMed, otorgando su tecnología en respuesta solidaria a la crisis de salud que hoy enfrenta el mundo.  La plataforma que será usada para la transferencia de imágenes se llama Actual PACS, y no requiere instalación o compra por parte de las instituciones que quieran pedir el servicio.                       

Si bien el diagnóstico de la enfermedad se realiza con el test de PCR específico, muchas veces el resultado no es inmediato, y los estudios de radiografías y tomografías son de gran utilidad para clasificar la gravedad del caso y definir el tratamiento a seguir. Contar con esta información lo más pronto posible ayudará a los médicos tratantes en el manejo de estos pacientes.",,Triage solutions and hospital management tools,,,
Koibanx,koibanx.com,11-50,Argentina,"Tenemos funcionando una plataforma de pagos , que procesa transacciones via Blockchain (sin criptomonedas), en 15 organizaciones en la región (México-Argentina-Colombia y Uruguay). Nuestro procesamiento es más económico, más rápido y permite ""programarse"" (por ejemplo, estos $100 solo los proceso si los gastas en un comercio etiquetado como supermercado). En Argentina, uno de nuestros clientes es el Municipio de Marcos Paz. Permite que la gente y negocios locales, cobren via plataforma y se paguen tasas municipales por allí. En base a una de las reglas de nuestra plataforma, estamos haciendo que cada persona que tenga la wallet del Municipio descargada y haga un post en redes sociales indicando que se quedó en la casa con el #YoMeQuedoEnCasa, reciba saldo adicional en su wallet para usar a futuro como crédito fiscal del Municipio. En Colombia, con el Banco Davivienda, otro de nuestros clientes que usa la plataforma para que sus negocios y clientes transaccionen, hemos definido una regla en donde solo se pueden procesar pagos para comercios de supermercados, farmacias, almacenes. A su vez, para estos comercios, estamos bonificando el costo del delivery, de manera que los usuarios no deban moverse de sus casa y solo reciban. Para todos ellos, el fee de procesamiento de Koibanx está siendo 100% bonificado. Queremos tratar de llevar esto a nuestros otros 13 clientes, pero está muy difícil lograr dar con ellos en medio de la crisis.  Vamos a seguir intentando. ",,Behavioral change,,,
B,biogenotec.com/,1-10,Argentina,"El aumento exponencial de pacientes con sospecha de infección por coronavirus COVID-19 y el escaso número de instituciones con la tecnología y los conocimientos necesarios para realizar los análisis de detección necesarios, generan retrasos significativos en los diagnósticos a realizar. En consecuencia, un paciente con síntomas como fiebre y tos -comunes a una gripe tradicional (virus de la influenza)- queda en aislamiento e internado bajo estricto control médico. a su vez, pacientes que efectivamente han contraído el virus del COVID-19 demoran en su diagnóstico varios días con los riesgos que eso conlleva.

Esto genera un costo muy elevado para el sistema de salud que no es sostenible teniendo en cuenta que en Argentina nos acercamos al invierno, época del año en la que aumenta considerablemente los casos de gripe en nuestra región. Teniendo en cuenta esto, descartar rápidamente que el paciente esté infectado con el virus de la gripe y confirmar la presencia de coronavirus es fundamental para poder darle la correcta atención a los pacientes contagiados con coronavirus COVID-19 y dar de alta a los pacientes con otras afecciones. Además, es fundamental, para relevar el avance de la enfermedad, poder diagnosticar correctamente a todos los pacientes sospechosos y así poder tomar las medidas poblacionales más adecuadas. 

Para descartar una infección por el virus de la influenza y confirmar la presencia de la cepa de coronavirus COVID-19 existen técnicas de biología molecular que detectan con alta especificidad y sensibilidad la presencia de estos virus. Nuestro laboratorio BIOGENOTEC es actualmente el principal proveedor de servicios de diagnóstico molecular de las obras sociales más relevantes de la provincia de Mendoza (OSEP y Sancor Salud), por lo cual nos vemos obligados a prestar un servicio acorde a la situación actual para dar respuesta de diagnóstico rápido y preciso del virus de la influenza y del virus COVID-19.

Como solución a la problemática mencionada proponemos prestar el servicio de detección cualitativa de virus influenza y especialmente de detección específica del COVID-19, a través técnicas de biología molecular que incluyan la técnica de Reacción en cadena de la polimeraza en tiempo real (qPCR). Para la implementación de dichas técnicas, es necesario incorporar al equipamiento actual de nuestro laboratorio cabinas de bioseguridad que permitan la manipulación de muestras infectos-contagiosas a través del sistema respiratorio y la incorporación de reactivos específicos. También es necesario incorporar una computadora con software específico que nos permitan aumentar la capacidad de análisis de datos y mejorar los tiempos de respuesta de manera considerable.
",,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
AVEDIAN,www.avediangrd.com,11-50,Argentina,"Tenemos una plataforma con algoritmos para clasificacion de pacientes a nivel ambulatorio, de hospitalizacion y poblacional. Permite generar estadisticas homogeneas y estratificar por riesgo. La herramienta sirve ademas para contratacion, pago y financiamiento de hospitales segun resultados. Los algoritmos tambien hacen analisis predictivos basados en machine learning.",,Decision support,,,
Economia PHI,phieconomy.org/es/,11-50,Argentina,"Desde Economía PHI. un movimiento global descentralizado que impulsa los principios de una Economía basada en Propósitos, bajo una Perspectiva Humana; con el objetivo de poder alcanzar los Objetivos del Desarrollo Sostenible en su Agenda 2030, respondemos al llamamiento que desde su organización, Naciones Unidas, se ha hecho en aportar ideas innovadoras para poder enfrentar así la crisis mundial -tanto sanitaria como económica- que está produciendo la expansión del virus COVID-19 a lo ancho y largo de nuestro querido planeta.

A tales efectos, pasamos a describir una solución que permita avanzar rápidamente en detener el contagio del virus a escala global, al mismo tiempo que nos permita paliar los efectos económicos en las personas más necesitadas -que supera en muchos países a más del 50% de su población, quienes sufren desde el mismo día uno por un confinamiento sugerido u obligatorio, para poder proveerse de lo mínimo indispensable para subsistir- y producir, como 3er objetivo de valor, un shock de confianza a las economías de cada uno de nuestros países.

Proponemos utilizar los como sujetos de emisión por única vez y mientras dure la pandemia global generada por el virus COVID-19 -también conocido como CoronaVirus-, pero que no incluya los intereses (SDRi) a ser pagados a los países que integran su canasta de monedas. El objetivo es que funcione como instrumento similar a una moneda global -pero ya no como concepto de deuda-, sino cuyo propósito de emisión, su motor sea cumplir con la cuarentena necesaria de cada uno/a de los/as ciudadano/as del mundo. 

Es decir que, aquellos países que declaren una cuarentena obligatoria dentro de sus fronteras -y que generará una atenuación rápida en su curva epidemiológica, como ya fue demostrado en varios estudios y reportes internacionales- tendrán derecho a recibir estos SDRs mientras ella dure, y que les permitirán hacer una emisión de sus monedas locales bajo un respaldo global de las principales economías mundiales y la ONU. Uno de los factores fundamentales para frenar esta epidemia, y para poder detener rápidamente otras en el futuro es la equidad-como plantean ya muchos profesionales de la salud que trabajan en la Organización Mundial de la Salud-. Esa equidad es necesaria tanto en la relación entre naciones, como así también intra-nación. Este puede ser un mecanismo que permita ir alcanzándola de manera paulatina.

Cada país destinara mediante una ""prueba de trabajo"" a definir -podrá hallar su definición y opciones disponibles que incluimos a modo de ejemplo al final de este documento- una distribución a aquellos/as ciudadanos/as que cumplen con este objetivo global -mediante un depósito/emisión diaria de su moneda en las cuentas corrientes/cajas de ahorro de cada ciudadano/a, proceso el cual podrá ser fácilmente auditable por cualquier país miembro o su organización ya que la confianza a generarse, dependerá del cumplimiento de todos y cada uno de los participantes; y/o a tarjetas para aquellas personas que se mueven en la informalidad, no estando bancarizadas-. Esto permitirá también incorporar un elemento de confianza -como ya fue mencionado- dentro de las economías de cada país, para permitir sostener la credibilidad en su economía y su despegue posterior, dando un manto de certidumbre en el respaldo económico que tiene cada nación.

Basamos esta propuesta en una nueva concepción económica que hemos desarrollado y venimos impulsando desde Economía PHI acerca de la verdadera del dinero; que permite crear una nueva esfera de valor que incentive -tanto a empresas como particulares- a enfocarse en crear ocupaciones y procesos que resuelvan problemas o cumplan en alcanzar objetivos en común y de escala global, de forma rápida y susceptibles de un crecimiento en su cumplimiento con curvas exponenciales; como son los Objetivos del Desarrollo Sostenible que vuestra organización impulsa desde hace años. Seguir emitiendo el dinero como una deuda que fomente la producción de bienes y servicios de mercado ha dejado de tener el impacto virtuoso que quizás poseía cincuenta, sesenta o cien años atrás. 

Hoy las necesidades mundiales son muy distintas y urgentes, y el empezar a utilizar un mecanismo como el que describimos, donde el dinero funciona como un ""certificado"" de la realización de un esfuerzo humano -de cada ciudadano/a del mundo que decida participar en cada proceso de valor- para alcanzar un objetivo en común, o resolver un problema/crisis de efectos globales; se torna algo ineludible para poder encontrar esas soluciones tan ansiadas. La rápida comprensión de este concepto nos permitirá enfrentar estos desafíos globales con mayores posibilidades de éxito, mediante la creación de esta nueva esfera de valor monetizable. Y será gracias a transformar un proceso que hoy no se está practicando de la forma correcta -emisión monetaria- que no sólo no necesitamos que siga funcionando de esa forma, sino que también es urgente modificar, ya que reproduce comportamientos a escala global, que no hacen más que profundizar los problemas actuales. Este mecanismo que hemos ideado permite que el mercado siga funcionando de la misma manera, pero aumenta las chances exponencialmente de poder corregir sus desequilibrios -tanto en el reparto de la riqueza generada, como en sus efectos colaterales para otras formas de vida y el planeta.

Para comprender de forma cabal lo dicho precedentemente, puede Ud. pensar en el valor económico que tendría, por ejemplo, hacer retroceder los procesos que producen hoy el cambio climático. No sólo imaginar cuántas vidas podrían salvarse, sino también el impacto de índole económica que ello podría tener para la Humanidad. Sin ninguna duda, dichas cifras serían incuantificables y/o superarían largamente varias o decenas de trillones de dólares/euros. Por lo tanto es necesario incorporar a nuestras mentes, que hay hechos de valor -pre-existentes- que hoy existen por fuera de una lógica de mercado -es decir, que no pueden ser tratados como bienes y servicios a ser comprados o vendidos- y que poseen un valor muy superior al proceso actual de emitir dinero, cuyo objetivo es impulsar la aparición de nuevas empresas y puestos de trabajo relacionados, que produzcan, por ejemplo, un teléfono móvil con capacidades más potentes, una nueva agencia de marketing o cualquier otro emprendimiento mercantil. 

Esta es la manera en que podemos empezar a rediseñar nuestro sistema socio-económico, conectando dos mundos que hoy se encuentran desconectados: la esfera de valor humano, social, ambiental y global, con la esfera de mercado -sin quebrar la lógica de esta última, sino más bien potenciándola y mejorándola para generar objetivos globales en común-.

Creemos que son momentos para no ser tibios. El Coronavirus, de forma indirecta, nos está brindando una gran oportunidad,  para intentar e implementar soluciones innovadoras que nos permitan aunar esfuerzos de forma GLOBAL y poder así resolver una crisis humanitaria de estas características. Pero al mismo tiempo, probar nuevos procesos que proporcionen una forma cierta de poder re-pensar nuestro sistema socio-económico global que está demostrando su agotamiento y creando nuevas crisis globales de forma recurrente y concurrentes, de muy difícil resolución al seguir utilizando los mismos mecanismos que han ayudado a generarlas.

Ponemos nuestro equipo de Economía PHI a su disposición para ayudar en la definición de los procesos que sean necesarios para poder cumplir con las acciones descritas en este documento.

Prueba de Trabajo: Se basa en el concepto de demostrar la realización de un acto humano por alcanzar un objetivo en común. Utiliza la idea detrás del funcionamiento de la tecnología Blockchain, que permite realizar procesos de valor común, donde el acto de realizarlos dispara la emisión de un certificado de valor comunitario, que hoy conocemos como DINERO o MONEDA. Para esta crisis, las pruebas de trabajo que pueden ser incorporadas por los países de todo el mundo que adhieran a una cuarentena global, y  podrían ser list ano taxativa-: geo-localización del celular de un ciudadano/a -emparentado con su domicilio físico personal, declarado en su sistema tributario-, sumado a la acción de aplicar su huella dactilar en determinados momentos del día en dicho aparato -hechos de forma aleatoria y variada-. Podría hacerse mediante llamados telefónicos -a un teléfono móvil o de línea registrado por cada ciudadano/a con su gobierno, donde deberá atender o contestar ante requisitoria. En caso de teléfono móvil, debería combinarse con la geo-localización del dispositivo, como ya fue descripta anteriormente-. También se podrá hacer efectivo de forma más simple, si un  Gobierno comprueba que la población en general respeta su cuarentena obligatoria -con alto cumplimiento, utilizando big data como por ejemplo flujo de automóviles en sus autopistas, mediante el descenso de cobros de peaje; y/o mediante la utilización de imágenes y fotografías del estado de las calles de sus diferentes ciudades y otras que pudieran pensarse en este sentido-. También podrá quitarse el ingreso que le fue otorgado a un ciudadano/a que es detenido por las autoridades públicas por no respetar dicha cuarentena, a pesar de haber cumplido con la “prueba de  trabajo” previamente -en consonancia con las responsabilidades civiles y/o penales que marquen las leyes emitidas en su país.",,Behavioral change,,,
GoSchool,www.goschool.com.ar,1-10,Argentina,Ofrecemos gratuitamente nuestro módulo de aulas virtuales a escuelas y colegios de Latam para que no se pierdan días de clases.,www.goschool.com.ar/coronavirus,Remote education,,,
